"Summary","Description","Priority","Labels","Issue Type"
"US_011: Bir ynetici olarak API balants zerinden course price plans'e eriebilmek istiyorum.","**Role:** Course Price Plans
**Acceptance Criteria:**
- ""/api/pricePlans endpoint'ine gecerli authorization bilgileri ile bir GET request gnderildiginde dnen status code'in 200 ve response body'deki remark bilgisinin """"success"""" oldugu dogrulanmali.""
- id(x) olaninin response body'de donen bilgileri (creator_id, webinar_id, bundle_id, start_date, end_date, discount, capacity, order, created_at, updated_at, deleted_at, title, id, ticket_id, locale, title) dorulanmal. 
- ""/api/pricePlans endpoint'ine gecersiz (invalid token) authorization bilgileri ile bir GET request gnderildiginde dnen status code'in 401 ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali.""","Medium","Course Price Plans","Story"
"US_012: Bir ynetici olarak API baglantisi zerinden belirtilen id numarasna sahip course price plan'in detayl bilgilerine erisebilmeliyim.","**Role:** Course Price Plans
**Acceptance Criteria:**
- ""/api/pricePlan/{id} endpoint'ine gecerli authorization bilgileri ve dogru data (id) iceren bir GET request gnderildiginde dnen status code'in 200 ve response body'deki remark bilgisinin """"success"""" oldugu dogrulanmali.""
- Response body icindeki list datalarnn (id, creator_id, webinar_id, bundle_id, start_date, end_date, discount, capacity, order, created_at, updated_at, deleted_at, title, id, ticket_id, locale, title) ierikleri dorulanmali.
- ""/api/pricePlan/{id} endpoint'ine gecerli authorization bilgileri ve kayd olmayan bir (id) iceren bir GET request gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is not ticket for this id."""" oldugu, (id) icermeyen bir GET request gnderildiginde de dnen status code'un 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"No id"""" oldugu dogrulanmali.""
- ""/api/pricePlan/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ve dogru data (id) iceren bir GET request gnderildiginde dnen status code'in 401 ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali.""","Low","Course Price Plans","Story"
"US_013: Bir ynetici olarak API balants zerinden yeni bir course price plan kayd olusturabilmek istiyorum.","**Role:** Course Price Plans
**Acceptance Criteria:**
- ""/api/addPricePlan endpoint'ine gecerli authorization bilgileri ve dogru datalar (title, dateRange, discount, capacity, webinar_id) iceren bir POST body gnderildiginde dnen status code'in 200, response body'deki remark bilgisinin """"success"""" ve Message bilgisinin de """"Successfully Added."""" oldugu dogrulanmali.""
- ""/api/addPricePlan endpoint'ine gecerli authorization bilgileri ve data icermeyen bir POST request gnderildiginde dnen status code'in 422 oldugu ve response body'deki message bilgisinin """"The title field is required. (and 3 more errors)"""" oldugu dogrulanmali""
- ""/api/addPricePlan endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru datalar (title, dateRange, discount, capacity, webinar_id) iceren bir POST body gnderildiginde dnen status code'in 401 oldugu ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali""
- ""API uzerinden olusturulmak istenen yeni course price plan kaydinin olustugu API uzerinden dogrulanmali. 
(Response bodyde dnen Added Price Plans ID ile /api/pricePlan/{id} endpoint'ine GET request gnderilerek kayt oluturulduu dorulanabilir.)""","High","Course Price Plans","Story"
"US_014: Bir ynetici olarak API baglantisi zerinden belirtilen id numarasna sahip course price plan'in bilgilerini gncelleyebilmek istiyorum.","**Role:** Course Price Plans
**Acceptance Criteria:**
- ""/api/updatePricePlan/{id} endpoint'ine gecerli authorization bilgileri ile dogru (id) ve dogru datalar (title, dateRange, discount, capacity, webinar_id) iceren bir PATCH body gnderildiginde dnen status code'in 200, response body'deki remark bilgisinin """"success"""" ve Message bilgisinin de """"Successfully Updated."""" oldugu dogrulanmali.""
- ""/api/updatePricePlan/{id} endpoint'ine gecerli authorization bilgileri ile dogru (id) ve data icermeyen bir PATCH request gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is no information to update."""" oldugu dogrulanmali.""
- ""/api/updatePricePlan/{id} endpoint'ine gecerli authorization bilgileri ile kayd olmayan bir (id) ve dogru datalar (title, dateRange, discount, capacity, webinar_id) iceren bir PATCH body gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is not ticket for this id."""" oldugu, (id) icermeyen ve dogru datalar (title, dateRange, discount, capacity, webinar_id) iceren bir PATCH body gnderildiginde de dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"No id"""" oldugu dogrulanmali.""
- ""/api/updatePricePlan/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru (id) ve dogru datalar (title, dateRange, discount, capacity, webinar_id) iceren bir PATCH body gnderildiginde dnen status code'in 401 oldugu ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali""
- /api/updatePricePlan/{id} endpoint'inden donen response body icindeki Updated Price Plans ID bilgisinin /api/updatePricePlan/{id} endpoint'inde yazan id path parametresi ile ayni oldugu dogrulanmali.
- ""API uzerinden gncellenmek istenen course price plan kaydinin gncellendigi, API uzerinden dogrulanmali.
(Response body'de dnen Updated Price Plans ID ile /api/pricePlan/{id} endpoint'ine GET request gnderilerek kaydn gncellendii dorulanabilir.)""","High","Course Price Plans","Story"
"US_015: Bir ynetici olarak API baglantisi zerinden belirtilen id numarasna sahip course price plan bilgilerini silebilmek istiyorum.","**Role:** Course Price Plans
**Acceptance Criteria:**
- ""/api/deletePricePlan/{id} endpoint'ine gecerli authorization bilgileri ve dogru (id) iceren bir DELETE request gnderildiginde dnen status code'in 200, response body'deki remark bilgisinin """"success"""" ve Message bilgisinin de """"Successfully Deleted."""" oldugu dogrulanmali.""
- ""/api/deletePricePlan/{id} endpoint'ine gecerli authorization bilgileri ve kayd olmayan bir (id) iceren bir DELETE request gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is not ticket for this id."""" oldugu,  (id) icermeyen bir DELETE request gnderildiginde de dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"No id"""" oldugu dogrulanmali.""
- ""/api/deletePricePlan/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru (id) iceren bir DELETE request gnderildiginde dnen status code'in 401 oldugu ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali""
- /api/deletePricePlan/{id} endpoint'inden donen response body icindeki Deleted Price Plan Id bilgisinin /api/deletePricePlan/{id} endpoint'inde yazan id path parametresi ile ayni oldugu dogrulanmali.
- ""API uzerinden silinmek istenen course price plan kaydinin silindigi, API uzerinden dogrulanmali.
(Response body'de dnen Deleted Price Plan Id ile /api/pricePlan/{id} endpoint'ine GET request gnderilerek kaydn silindii dorulanabilir.)""","High","Course Price Plans","Story"
"US_016: Bir ynetici olarak API balants zerinden course faqs'e eriebilmek istiyorum.","**Role:** Course FAQ
**Acceptance Criteria:**
- ""/api/coursefaqs endpoint'ine gecerli authorization bilgileri ile bir GET request gnderildiginde dnen status code'in 200 ve response body'deki remark bilgisinin """"success"""" oldugu dogrulanmali.""
- id(x) olaninin response body'de donen bilgileri (creator_id, webinar_id, bundle_id, upcoming_course_id, order, created_at, updated_at, title, answer) dorulanmal.
- ""/api/coursefaqs endpoint'ine gecersiz (invalid token) authorization bilgileri ile bir GET request gnderildiginde dnen status code'in 401 ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali.""","Medium","Course FAQ","Story"
"US_017: Bir ynetici olarak API baglantisi zerinden belirtilen id numarasna sahip course faq'in detayl bilgilerine erisebilmeliyim.","**Role:** Course FAQ
**Acceptance Criteria:**
- ""/api/coursefaq/{id} endpoint'ine gecerli authorization bilgileri ve dogru data (id) iceren bir GET request gnderildiginde dnen status code'in 200 ve response body'deki remark bilgisinin """"success"""" oldugu dogrulanmali.""
- Response body icindeki list datalarnn (id, creator_id, webinar_id, bundle_id, upcoming_course_id, order, created_at, updated_at, title, answer) ierikleri dorulanmali. 
- ""/api/coursefaq/{id} endpoint'ine gecerli authorization bilgileri ve kayd olmayan bir (id) iceren bir GET request gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is not course faq for this id."""" oldugu, (id) icermeyen bir GET request gnderildiginde de dnen status code'un 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"No id"""" oldugu dogrulanmali.""
- ""/api/coursefaq/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ve dogru data (id) iceren bir GET request gnderildiginde dnen status code'in 401 ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali.""","Low","Course FAQ","Story"
"US_018: Bir ynetici olarak API balants zerinden yeni bir course faq kayd olusturabilmek istiyorum.","**Role:** Course FAQ
**Acceptance Criteria:**
- ""/api/addCoursefaq endpoint'ine gecerli authorization bilgileri ve dogru datalar (title, answer, webinar_id) iceren bir POST body gnderildiginde dnen status code'in 200, response body'deki remark bilgisinin """"success"""" ve Message bilgisinin de """"Successfully Added."""" oldugu dogrulanmali.""
- ""/api/addCoursefaq endpoint'ine gecerli authorization bilgileri ve data icermeyen bir POST request gnderildiginde dnen status code'in 422 oldugu ve response body'deki message bilgisinin """"The title field is required. (and 1 more error)"""" oldugu dogrulanmali""
- ""/api/addCoursefaq endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru datalar (title, answer, webinar_id) iceren bir POST body gnderildiginde dnen status code'in 401 oldugu ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali""
- ""API uzerinden olusturulmak istenen yeni course faq kaydinin olustugu API uzerinden dogrulanmali. 
(Response bodyde dnen Added Course Faq ID ile /api/coursefaq/{id} endpoint'ine GET request gnderilerek kayt oluturulduu dorulanabilir.)""","High","Course FAQ","Story"
"US_019: Bir ynetici olarak API baglantisi zerinden belirtilen id numarasna sahip course faq'in bilgilerini gncelleyebilmek istiyorum.","**Role:** Course FAQ
**Acceptance Criteria:**
- ""/api/updateCoursefaq/{id} endpoint'ine gecerli authorization bilgileri ile dogru (id) ve dogru datalar (title, answer) iceren bir PATCH body gnderildiginde dnen status code'in 200, response body'deki remark bilgisinin """"success"""" ve Message bilgisinin de """"Successfully Updated."""" oldugu dogrulanmali.""
- ""/api/updateCoursefaq/{id} endpoint'ine gecerli authorization bilgileri ile dogru (id) ve data icermeyen bir PATCH request gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is no information to update."""" oldugu dogrulanmali.""
- ""/api/updateCoursefaq/{id} endpoint'ine gecerli authorization bilgileri ile kayd olmayan bir (id) ve dogru datalar (title, answer) iceren bir PATCH body gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is not course faq for this id."""" oldugu, (id) icermeyen ve dogru datalar (title, answer) iceren bir PATCH body gnderildiginde de dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"No id"""" oldugu dogrulanmali.""
- ""/api/updateCoursefaq/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru (id) ve dogru datalar (title, answer) iceren bir PATCH body gnderildiginde dnen status code'in 401 oldugu ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali""
- /api/updateCoursefaq/{id} endpoint'inden donen response body icindeki Updated Course Faq ID bilgisinin /api/updateCoursefaq/{id} endpoint'inde yazan id path parametresi ile ayni oldugu dogrulanmali.
- ""API uzerinden gncellenmek istenen course faq kaydinin gncellendigi, API uzerinden dogrulanmali.
(Response body'de dnen Updated Course Faq ID ile /api/coursefaq/{id} endpoint'ine GET request gnderilerek kaydn gncellendii dorulanabilir.)""","High","Course FAQ","Story"
"US_020: Bir ynetici olarak API baglantisi zerinden belirtilen id numarasna sahip course faq bilgilerini silebilmek istiyorum.","**Role:** Course FAQ
**Acceptance Criteria:**
- ""/api/deleteCoursefaq/{id} endpoint'ine gecerli authorization bilgileri ve dogru (id) iceren bir DELETE request gnderildiginde dnen status code'in 200, response body'deki remark bilgisinin """"success"""" ve Message bilgisinin de """"Successfully Deleted."""" oldugu dogrulanmali.""
- ""/api/deleteCoursefaq/{id} endpoint'ine gecerli authorization bilgileri ve kayd olmayan bir (id) iceren bir DELETE request gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is not course faq for this id."""" oldugu, (id) icermeyen bir DELETE request gnderildiginde de dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"No id"""" oldugu dogrulanmali.""
- ""/api/deleteCoursefaq/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru (id) iceren bir DELETE request gnderildiginde dnen status code'in 401 oldugu ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali""
- /api/deleteCoursefaq/{id} endpoint'inden donen response body icindeki Deleted Course Faq ID bilgisinin /api/deleteCoursefaq/{id} endpoint'inde yazan id path parametresi ile ayni oldugu dogrulanmali.
- ""API uzerinden silinmek istenen course faq kaydinin silindigi, API uzerinden dogrulanmali.
(Response body'de dnen Deleted Course Faq ID ile /api/coursefaq/{id} endpoint'ine GET request gnderilerek kaydn silindii dorulanabilir.)""","High","Course FAQ","Story"
"US_021: Bir ynetici olarak API balants zerinden products'e eriebilmek istiyorum.","**Role:** Product
**Acceptance Criteria:**
- ""/api/products endpoint'ine gecerli authorization bilgileri ile bir GET request gnderildiginde dnen status code'in 200 ve response body'deki remark bilgisinin """"success"""" oldugu dogrulanmali.""
- id(x) olaninin response body'de donen bilgileri (creator_id, type, slug, category_id, price, point, unlimited_inventory, ordering, inventory, id, product_id, locale, title, seo_description, summary, description) dorulanmal.
- ""/api/products endpoint'ine gecersiz (invalid token) authorization bilgileri ile bir GET request gnderildiginde dnen status code'in 401 ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali.""","Medium","Product","Story"
"US_022: Bir ynetici olarak API baglantisi zerinden belirtilen id numarasna sahip product'in detayl bilgilerine erisebilmeliyim.","**Role:** Product
**Acceptance Criteria:**
- ""/api/product/{id} endpoint'ine gecerli authorization bilgileri ve dogru data (id) iceren bir GET request gnderildiginde dnen status code'in 200 ve response body'deki remark bilgisinin """"success"""" oldugu dogrulanmali.""
- Response body icindeki list datalarnn (id, creator_id, type, slug, category_id, price, point, unlimited_inventory, ordering, inventory, id, product_id, locale, title, seo_description, summary, description) ierikleri dorulanmali.
- ""/api/product/{id} endpoint'ine gecerli authorization bilgileri ve kayd olmayan bir (id) iceren bir GET request gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is not product for this id."""" oldugu, (id) icermeyen bir GET request gnderildiginde de dnen status code'un 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"No id"""" oldugu dogrulanmali.""
- ""/api/product/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ve dogru data (id) iceren bir GET request gnderildiginde dnen status code'in 401 ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali.""","Low","Product","Story"
